Stations,Radius(m),Load(Mbps),PktSize,UseTCP,RateCtrl,MaxAmpdu,RtsCtsTh,Utilization(%),Throughput(Mbps),LossRate(%),AvgDelay(ms),CollisionRate(%),RetransCount,TotalMacTx,RetransRate(%),ApTxPower(dBm),AggRatio,AvgRSSI(dBm),AvgSNR(dB)
1,5,500,1500,UDP,Auto,65535,65535,88.9794,306.724,37.9168,398.624,0,0,753220,0,16.0206,40.3041,-51.6262,36.3221
1,10,500,1500,UDP,Auto,65535,65535,88.9646,306.515,37.9592,398.891,0.0507225,382,752735,0.0507483,16.0206,40.2249,-60.6571,27.2912
1,12.5,500,1500,UDP,Auto,65535,65535,89.1289,271.683,45.0093,448.532,2.74135,18807,667241,2.81862,16.0206,36.4033,-63.5644,24.3843
1,15,500,1500,UDP,Auto,65535,65535,90.739,236.768,52.0764,511.705,0.635577,3720,581575,0.639642,16.0206,39.9281,-65.9398,22.0123
1,17.5,500,1500,UDP,Auto,65535,65535,90.1719,224.945,54.4694,537.991,4.3727,25265,552524,4.57265,16.0206,34.9139,-67.9482,20.0077
1,20,500,1500,UDP,Auto,65535,65535,91.7621,192.22,61.0932,624.541,1.35286,6476,472214,1.37141,16.0206,38.747,-69.688,18.2677
1,25,500,1500,UDP,Auto,65535,65535,92.9434,151.847,69.2651,779.227,0.938155,3534,373163,0.947039,16.0206,39.385,-72.5953,15.363
1,30,500,1500,UDP,Auto,65535,65535,92.3463,141.157,71.4289,835.329,6.92877,25827,346923,7.44459,16.0206,32.1956,-74.9707,12.9886
1,35,500,1500,UDP,Auto,65535,65535,94.1538,103.984,78.9529,1105.56,1.60365,4167,255677,1.62979,16.0206,38.3062,-76.9791,10.9739
1,40,500,1500,UDP,Auto,65535,65535,92.467,67.7413,86.2887,1627.51,33.7987,85139,166761,51.0545,16.0206,16.2894,-78.7189,9.26269
1,42.5,500,1500,UDP,Auto,65535,65535,94.6877,78.3766,84.136,1427.49,2.12247,4182,192853,2.16849,16.0206,35.2162,-79.5088,8.44435
1,45,500,1500,UDP,Auto,65535,65535,94.6424,72.4032,85.3451,1540.06,2.83835,5205,178176,2.92127,16.0206,32.4194,-80.2535,7.70571
1,5,300,1500,UDP,Auto,65535,65535,86.1387,290.588,1.97155,87.554,0,0,713178,0,16.0206,28.31,-51.6262,36.3223
1,12.5,300,1500,UDP,Auto,65535,65535,89.1289,271.683,8.34887,445.42,2.74135,18807,667241,2.81862,16.0206,36.4033,-63.5644,24.3843
1,5,200,1500,UDP,Auto,65535,65535,69.7453,197.517,0.0529897,28.5114,0.0111385,54,484752,0.0111397,16.0206,7.71933,-51.6262,36.323
1,10,200,1500,UDP,Auto,65535,65535,69.7546,197.517,0.0525773,28.5137,0.05711,277,484752,0.0571426,16.0206,7.72416,-60.6571,27.2921
1,11,200,1500,UDP,Auto,65535,65535,70.1578,197.517,0.0527835,28.5561,1.20852,5930,484751,1.22331,16.0206,7.83944,-61.8989,26.0503
1,12,200,1500,UDP,Auto,65535,65535,73.3945,197.515,0.0540206,28.9748,0.742264,3625,484746,0.747814,16.0206,8.91128,-63.0325,24.9169
1,13,200,1500,UDP,Auto,65535,65535,76.6119,197.484,0.0696907,33.7999,8.39426,44413,484675,9.16346,16.0206,10.3315,-64.0754,23.8743
1,13.5,200,1500,UDP,Auto,65535,65535,80.8693,197.438,0.0927835,41.7468,1.92978,9535,484563,1.96775,16.0206,13.1571,-64.5671,23.3826
1,14,200,1500,UDP,Auto,65535,65535,81.4713,196.844,0.393402,64.9921,1.40534,6886,483103,1.42537,16.0206,13.6316,-65.0409,22.9101
1,15,200,1500,UDP,Auto,65535,65535,81.6507,196.83,0.400206,65.0665,1.8814,9263,483082,1.91748,16.0206,13.8675,-65.9398,22.0136
1,20,200,1500,UDP,Auto,65535,65535,91.7177,192.052,2.81835,281.235,1.3693,6544,471366,1.38831,16.0206,38.3851,-69.688,18.2675
1,25,200,1500,UDP,Auto,65535,65535,92.9434,151.847,23.1627,759.59,0.938155,3534,373163,0.947039,16.0206,39.385,-72.5953,15.363
1,35,200,1500,UDP,Auto,65535,65535,94.1538,103.984,47.3823,1084.76,1.60365,4167,255677,1.62979,16.0206,38.3062,-76.9791,10.9739
1,5,300,1500,UDP,Auto,65535,65535,86.1387,290.588,1.97155,87.554,0,0,713178,0,16.0206,28.31,-51.6262,36.3223
1,10,300,1500,UDP,Auto,65535,65535,86.1634,290.574,1.97622,88.0109,0.0731426,522,713152,0.0731962,16.0206,28.383,-60.6571,27.2914
1,15,300,1500,UDP,Auto,65535,65535,90.739,236.768,20.1273,508.491,0.635577,3720,581575,0.639642,16.0206,39.9281,-65.9398,22.0123
1,20,300,1500,UDP,Auto,65535,65535,91.7621,192.22,35.1553,620.665,1.35286,6476,472214,1.37141,16.0206,38.747,-69.688,18.2677
1,25,300,1500,UDP,Auto,65535,65535,92.9434,151.847,48.7751,774.403,0.938155,3534,373163,0.947039,16.0206,39.385,-72.5953,15.363
1,30,300,1500,UDP,Auto,65535,65535,92.3463,141.157,52.3814,830.208,6.92877,25827,346923,7.44459,16.0206,32.1956,-74.9707,12.9886
1,35,300,1500,UDP,Auto,65535,65535,94.1538,103.984,64.9215,1098.7,1.60365,4167,255677,1.62979,16.0206,38.3062,-76.9791,10.9739
1,40,300,1500,UDP,Auto,65535,65535,92.467,67.7413,77.1478,1619.47,33.7987,85139,166761,51.0545,16.0206,16.2894,-78.7189,9.26269
1,45,300,1500,UDP,Auto,65535,65535,94.6424,72.4032,75.5751,1533.52,2.83835,5205,178176,2.92127,16.0206,32.4194,-80.2535,7.70571
