Stations,Radius(m),Load(Mbps),PktSize,UseTCP,RateCtrl,MaxAmpdu,RtsCtsTh,Utilization(%),Throughput(Mbps),LossRate(%),AvgDelay(ms),CollisionRate(%),RetransCount,TotalMacTx,RetransRate(%),ApTxPower(dBm),AggRatio,AvgRSSI(dBm),AvgSNR(dB)
1,17.5,300,1500,TCP,Auto,65535,65535,82.3201,163.251,0.0491574,3.67552,15.7055,295259,1584710,18.6317,16.0206,2.60033,-67.9482,20.0415
1,20,300,1500,TCP,Auto,65535,65535,81.5074,138.077,0.0886618,4.5495,17.7707,288842,1336543,21.6111,16.0206,2.54543,-69.688,18.3319
1,22.5,300,1500,TCP,Auto,65535,65535,81.6932,117.188,0.0952754,5.2417,21.1295,302276,1128312,26.7901,16.0206,2.48208,-71.2226,16.8523
1,25,300,1500,TCP,Auto,65535,65535,88.6565,114.033,0.0668643,5.24645,15.7897,207233,1105228,18.7502,16.0206,2.56609,-72.5953,15.5129
1,27.5,300,1500,TCP,Auto,65535,65535,88.6417,113.147,0.0508402,5.45065,15.9736,209023,1099527,19.0103,16.0206,2.58348,-73.8371,14.226
1,30,300,1500,TCP,Auto,65535,65535,86.5634,105.086,0.0397603,6.11786,16.9428,208298,1021123,20.3989,16.0206,2.55113,-74.9707,13.0737
1,32.5,300,1500,TCP,Auto,65535,65535,90.0613,80.1142,0.100776,7.15742,20.1564,195895,775981,25.2448,16.0206,2.46974,-76.0136,12.0011
1,35,300,1500,TCP,Auto,65535,65535,90.8953,79.3486,0.0622748,7.74571,16.6866,154056,769175,20.0287,16.0206,2.53219,-76.9791,11.0944
1,37.5,300,1500,TCP,Auto,65535,65535,89.5076,77.4337,0.123521,8.2311,17.9378,164046,750482,21.8588,16.0206,2.51711,-77.878,10.1942
1,40,300,1500,TCP,Auto,65535,65535,77.0205,57.2454,0.150373,9.87727,25.3247,186511,549969,33.913,16.0206,2.43658,-78.7189,9.30673
1,5,400,1500,TCP,Auto,65535,65535,82.1693,215.945,0.0404038,2.72642,14.3406,351372,2098816,16.7414,16.0206,2.6291,-51.6262,36.355
1,10,400,1500,TCP,Auto,65535,65535,82.1396,215.953,0.0276466,2.7605,14.1008,344976,2101529,16.4155,16.0206,2.6362,-60.6571,27.32
1,12.5,400,1500,TCP,Auto,65535,65535,80.2761,190.462,0.0257014,3.2564,15.6655,344024,1852044,18.5754,16.0206,2.60086,-63.5644,24.424
1,15,400,1500,TCP,Auto,65535,65535,84.7546,176.31,0.0507168,3.34632,14.4816,289151,1707524,16.9339,16.0206,2.6163,-65.9398,22.0627
1,17.5,400,1500,TCP,Auto,65535,65535,82.3116,163.349,0.0473907,3.83683,15.9133,300303,1586814,18.9249,16.0206,2.59502,-67.9482,20.0411
1,20,400,1500,TCP,Auto,65535,65535,81.5552,136.117,0.0761396,4.64452,18.8119,304929,1316007,23.1708,16.0206,2.53025,-69.688,18.3396
1,22.5,400,1500,TCP,Auto,65535,65535,82.2981,117.565,0.0771312,5.49627,20.4696,293317,1139620,25.7381,16.0206,2.49984,-71.2226,16.8425
1,25,400,1500,TCP,Auto,65535,65535,88.568,114.017,0.0842983,5.27131,16.4656,217460,1103229,19.7112,16.0206,2.54116,-72.5953,15.494
1,27.5,400,1500,TCP,Auto,65535,65535,88.6507,114.532,0.0305378,5.5212,14.7923,193286,1113377,17.3603,16.0206,2.60303,-73.8371,14.1944
1,30,400,1500,TCP,Auto,65535,65535,86.5594,104.971,0.0618634,6.17,17.0272,208985,1018376,20.5214,16.0206,2.5524,-74.9707,13.0602
1,32.5,400,1500,TCP,Auto,65535,65535,82.6641,68.8166,0.0846996,9.58244,34.1225,342462,661164,51.7968,16.0206,2.31813,-76.0136,12.1012
1,35,400,1500,TCP,Auto,65535,65535,90.9341,81.2269,0.0548974,7.9679,16.0105,150702,790569,19.0625,16.0206,2.5634,-76.9791,11.0477
1,37.5,400,1500,TCP,Auto,65535,65535,89.5802,78.181,0.0768475,8.2462,17.3793,159308,757348,21.035,16.0206,2.52993,-77.878,10.137
1,40,400,1500,TCP,Auto,65535,65535,77.3002,57.0954,0.174074,10.423,23.4217,168676,551493,30.5853,16.0206,2.48554,-78.7189,9.309561
