クライアント数,重ユーザ数,軽ユーザ数,重ユーザ割合,配置半径,シミュレーション時間,チャネル使用率,平均スループット,平均遅延,パケット損失率,タイムスタンプ
10,10,0,100,7.5,10,83.858,22.1654,2264.71,56.4816,20251118_102947_t10.0s
10,10,0,100,7.5,10,83.858,22.1654,2264.71,56.4816,20251118_112126_t10.0s
