Stations,Radius(m),Load(Mbps),PktSize,UseTCP,RateCtrl,MaxAmpdu,RtsCtsTh,Utilization(%),Throughput(Mbps),LossRate(%),AvgDelay(ms),CollisionRate(%),RetransCount,TotalMacTx,RetransRate(%),ApTxPower(dBm),AggRatio,AvgRSSI(dBm),AvgSNR(dB)
1,5,5,1460,TCP,Auto,65535,65535,8.77117,5.55105,0,0.0716905,0.133652,75,56041,0.133831,15,1.18623,-52.6468,35.3153
1,5,5,1400,TCP,Auto,65535,65535,9.12861,5.57416,0,0.071963,0.0957265,56,58444,0.0958182,15,1.18683,-52.6468,35.315
1,5,5,1400,TCP,Auto,65535,65535,9.12861,5.55593,0,0.071963,0.0957265,56,58444,0.0958182,15,1.18683,-52.6468,35.315
1,5,5,1400,TCP,Auto,65535,65535,9.12861,5.55593,0,0.071963,0.0957265,56,58444,0.0958182,15,1.18683,-52.6468,35.315
1,5,5,1400,TCP,Auto,65535,65535,9.12861,5.55593,0,0.071963,0.0957265,56,58444,0.0958182,15,1.18683,-52.6468,35.315
git commit num...09670a2f847578371a1c77300bf8702efa25041f
