Time	CellId	RNTI	BWPId	SINR(dB)
0.805071	1	1	0	34.975
0.810071	1	1	0	34.9734
0.815071	1	1	0	34.9718
0.820071	1	1	0	34.9702
0.825071	1	1	0	34.9686
0.830071	1	1	0	34.967
0.835071	1	1	0	34.9655
0.840071	1	1	0	34.9639
0.845071	1	1	0	34.9623
0.850071	1	1	0	34.9607
0.855071	1	1	0	34.9591
0.860071	1	1	0	34.9575
0.865071	1	1	0	34.9559
0.866071	1	1	0	34.9556
0.870071	1	1	0	34.9543
0.875071	1	1	0	34.9527
0.880071	1	1	0	34.9511
0.885071	1	1	0	34.9495
0.890071	1	1	0	34.9479
0.895071	1	1	0	34.9463
0.900071	1	1	0	34.9447
0.905071	1	1	0	34.9431
0.910071	1	1	0	34.9415
0.915071	1	1	0	34.9399
0.920071	1	1	0	34.9383
0.925071	1	1	0	34.9367
0.930071	1	1	0	34.9351
0.935071	1	1	0	34.9335
0.940071	1	1	0	34.9319
0.945071	1	1	0	34.9303
0.946071	1	1	0	34.93
0.950071	1	1	0	34.9287
0.955071	1	1	0	34.9271
0.960071	1	1	0	34.9255
0.965071	1	1	0	34.9239
0.970071	1	1	0	34.9223
0.975071	1	1	0	34.9207
0.980071	1	1	0	34.9191
0.985071	1	1	0	34.9175
0.990071	1	1	0	34.9159
0.995071	1	1	0	34.9143
1.00007	1	1	0	34.9127
1.00507	1	1	0	34.9111
1.01007	1	1	0	34.9095
1.01507	1	1	0	34.9079
1.02007	1	1	0	34.9063
1.02507	1	1	0	34.9047
1.02607	1	1	0	34.9044
1.03007	1	1	0	34.9031
1.03507	1	1	0	34.9015
1.04007	1	1	0	34.8999
1.04507	1	1	0	34.8983
1.05007	1	1	0	34.8967
1.05507	1	1	0	34.8951
1.06007	1	1	0	34.8935
1.06507	1	1	0	34.8919
1.07007	1	1	0	34.8903
1.07507	1	1	0	34.8887
1.08007	1	1	0	34.887
1.08507	1	1	0	34.8854
1.09007	1	1	0	34.8838
1.09507	1	1	0	34.8822
1.10007	1	1	0	34.8806
1.10507	1	1	0	34.879
1.10607	1	1	0	34.8787
1.11007	1	1	0	34.8774
1.11507	1	1	0	34.8758
1.12007	1	1	0	34.8742
1.12507	1	1	0	34.8726
1.13007	1	1	0	34.871
1.13507	1	1	0	34.8693
1.14007	1	1	0	34.8677
1.14507	1	1	0	34.8661
1.15007	1	1	0	34.8645
1.15507	1	1	0	34.8629
1.16007	1	1	0	34.8613
1.16507	1	1	0	34.8597
1.17007	1	1	0	34.8581
1.17507	1	1	0	34.8564
1.18007	1	1	0	34.8548
1.18507	1	1	0	34.8532
1.18607	1	1	0	34.8529
1.19007	1	1	0	34.8516
1.19507	1	1	0	34.85
1.20007	1	1	0	34.8484
1.20507	1	1	0	34.8468
1.21007	1	1	0	34.8451
1.21507	1	1	0	34.8435
1.22007	1	1	0	34.8419
1.22507	1	1	0	34.8403
1.23007	1	1	0	34.8387
1.23507	1	1	0	34.8371
1.24007	1	1	0	34.8354
1.24507	1	1	0	34.8338
1.25007	1	1	0	34.8322
1.25507	1	1	0	34.8306
1.26007	1	1	0	34.829
1.26507	1	1	0	34.8273
1.26607	1	1	0	34.827
1.27007	1	1	0	34.8257
1.27507	1	1	0	34.8241
1.28007	1	1	0	34.8225
1.28507	1	1	0	34.8209
1.29007	1	1	0	34.8192
1.29507	1	1	0	34.8176
1.30007	1	1	0	34.816
1.30507	1	1	0	34.8144
1.31007	1	1	0	34.8127
1.31507	1	1	0	34.8111
1.32007	1	1	0	34.8095
1.32507	1	1	0	34.8079
1.33007	1	1	0	34.8063
1.33507	1	1	0	34.8046
1.34007	1	1	0	34.803
1.34507	1	1	0	34.8014
1.34607	1	1	0	34.8011
1.35007	1	1	0	34.7998
1.35507	1	1	0	34.7981
1.36007	1	1	0	34.7965
1.36507	1	1	0	34.7949
1.37007	1	1	0	34.7933
1.37507	1	1	0	34.7916
1.38007	1	1	0	34.79
1.38507	1	1	0	34.7884
1.39007	1	1	0	34.7868
1.39507	1	1	0	34.7851
1.40007	1	1	0	34.7835
1.40507	1	1	0	34.7819
1.41007	1	1	0	34.7802
1.41507	1	1	0	34.7786
1.42007	1	1	0	34.777
1.42507	1	1	0	34.7754
1.42607	1	1	0	34.775
1.43007	1	1	0	34.7737
1.43507	1	1	0	34.7721
1.44007	1	1	0	34.7705
1.44507	1	1	0	34.7688
1.45007	1	1	0	34.7672
1.45507	1	1	0	34.7656
1.46007	1	1	0	34.7639
1.46507	1	1	0	34.7623
1.47007	1	1	0	34.7607
1.47507	1	1	0	34.759
1.48007	1	1	0	34.7574
1.48507	1	1	0	34.7558
1.49007	1	1	0	34.7541
1.49507	1	1	0	34.7525
1.50007	1	1	0	34.7509
1.50507	1	1	0	34.7492
1.50607	1	1	0	34.7489
1.51007	1	1	0	34.7476
1.51507	1	1	0	34.746
1.52007	1	1	0	34.7443
1.52507	1	1	0	34.7427
1.53007	1	1	0	34.7411
1.53507	1	1	0	34.7394
1.54007	1	1	0	34.7378
1.54507	1	1	0	34.7362
1.55007	1	1	0	34.7345
1.55507	1	1	0	34.7329
1.56007	1	1	0	34.7312
1.56507	1	1	0	34.7296
1.57007	1	1	0	34.728
1.57507	1	1	0	34.7263
1.58007	1	1	0	34.7247
1.58507	1	1	0	34.7231
1.58607	1	1	0	34.7227
1.59007	1	1	0	34.7214
1.59507	1	1	0	34.7198
1.60007	1	1	0	34.7181
1.60507	1	1	0	34.7165
1.61007	1	1	0	34.7149
1.61507	1	1	0	34.7132
1.62007	1	1	0	34.7116
1.62507	1	1	0	34.7099
1.63007	1	1	0	34.7083
1.63507	1	1	0	34.7067
1.64007	1	1	0	34.705
1.64507	1	1	0	34.7034
1.65007	1	1	0	34.7017
1.65507	1	1	0	34.7001
1.66007	1	1	0	34.6984
1.66507	1	1	0	34.6968
1.66607	1	1	0	34.6965
1.67007	1	1	0	34.6952
1.67507	1	1	0	34.6935
1.68007	1	1	0	34.6919
1.68507	1	1	0	34.6902
1.69007	1	1	0	34.6886
1.69507	1	1	0	34.6869
1.70007	1	1	0	34.6853
1.70507	1	1	0	34.6836
1.71007	1	1	0	34.682
1.71507	1	1	0	34.6803
1.72007	1	1	0	34.6787
1.72507	1	1	0	34.677
1.73007	1	1	0	34.6754
1.73507	1	1	0	34.6738
1.74007	1	1	0	34.6721
1.74507	1	1	0	34.6705
1.74607	1	1	0	34.6701
1.75007	1	1	0	34.6688
1.75507	1	1	0	34.6672
1.76007	1	1	0	34.6655
1.76507	1	1	0	34.6639
1.77007	1	1	0	34.6622
1.77507	1	1	0	34.6606
1.78007	1	1	0	34.6589
1.78507	1	1	0	34.6573
1.79007	1	1	0	34.6556
1.79507	1	1	0	34.654
1.80007	1	1	0	34.6523
1.80507	1	1	0	34.6507
1.81007	1	1	0	34.649
1.81507	1	1	0	34.6474
1.82007	1	1	0	34.6457
1.82507	1	1	0	34.644
1.82607	1	1	0	34.6437
1.83007	1	1	0	34.6424
1.83507	1	1	0	34.6407
1.84007	1	1	0	34.6391
1.84507	1	1	0	34.6374
1.85007	1	1	0	34.6358
1.85507	1	1	0	34.6341
1.86007	1	1	0	34.6325
1.86507	1	1	0	34.6308
1.87007	1	1	0	34.6292
1.87507	1	1	0	34.6275
1.88007	1	1	0	34.6258
1.88507	1	1	0	34.6242
1.89007	1	1	0	34.6225
1.89507	1	1	0	34.6209
1.90007	1	1	0	34.6192
1.90507	1	1	0	34.6176
1.90607	1	1	0	34.6172
1.91007	1	1	0	34.6159
1.91507	1	1	0	34.6142
1.92007	1	1	0	34.6126
1.92507	1	1	0	34.6109
1.93007	1	1	0	34.6093
1.93507	1	1	0	34.6076
1.94007	1	1	0	34.606
1.94507	1	1	0	34.6043
1.95007	1	1	0	34.6026
1.95507	1	1	0	34.601
1.96007	1	1	0	34.5993
1.96507	1	1	0	34.5977
1.97007	1	1	0	34.596
1.97507	1	1	0	34.5943
1.98007	1	1	0	34.5927
1.98507	1	1	0	34.591
1.98607	1	1	0	34.5907
1.99007	1	1	0	34.5893
1.99507	1	1	0	34.5877
2.00007	1	1	0	34.586
2.00507	1	1	0	34.5844
2.01007	1	1	0	34.5827
2.01507	1	1	0	34.581
2.02007	1	1	0	34.5794
2.02507	1	1	0	34.5777
2.03007	1	1	0	34.576
2.03507	1	1	0	34.5744
2.04007	1	1	0	34.5727
2.04507	1	1	0	34.571
2.05007	1	1	0	34.5694
2.05507	1	1	0	34.5677
2.06007	1	1	0	34.566
2.06507	1	1	0	34.5644
2.06607	1	1	0	34.564
2.07007	1	1	0	34.5627
2.07507	1	1	0	34.561
2.08007	1	1	0	34.5594
2.08507	1	1	0	34.5577
2.09007	1	1	0	34.556
2.09507	1	1	0	34.5544
2.10007	1	1	0	34.5527
2.10507	1	1	0	34.551
2.11007	1	1	0	34.5494
2.11507	1	1	0	34.5477
2.12007	1	1	0	34.546
2.12507	1	1	0	34.5444
2.13007	1	1	0	34.5427
2.13507	1	1	0	34.541
2.14007	1	1	0	34.5393
2.14507	1	1	0	34.5377
2.14607	1	1	0	34.5373
2.15007	1	1	0	34.536
2.15507	1	1	0	34.5343
2.16007	1	1	0	34.5327
2.16507	1	1	0	34.531
2.17007	1	1	0	34.5293
2.17507	1	1	0	34.5276
2.18007	1	1	0	34.526
2.18507	1	1	0	34.5243
2.19007	1	1	0	34.5226
2.19507	1	1	0	34.521
2.20007	1	1	0	34.5193
2.20507	1	1	0	34.5176
2.21007	1	1	0	34.5159
2.21507	1	1	0	34.5143
2.22007	1	1	0	34.5126
2.22507	1	1	0	34.5109
2.22607	1	1	0	34.5106
2.23007	1	1	0	34.5092
2.23507	1	1	0	34.5076
2.24007	1	1	0	34.5059
2.24507	1	1	0	34.5042
2.25007	1	1	0	34.5025
2.25507	1	1	0	34.5009
2.26007	1	1	0	34.4992
2.26507	1	1	0	34.4975
2.27007	1	1	0	34.4958
2.27507	1	1	0	34.4941
2.28007	1	1	0	34.4925
2.28507	1	1	0	34.4908
2.29007	1	1	0	34.4891
2.29507	1	1	0	34.4874
2.30007	1	1	0	34.4858
2.30507	1	1	0	34.4841
2.30607	1	1	0	34.4837
2.31007	1	1	0	34.4824
2.31507	1	1	0	34.4807
2.32007	1	1	0	34.479
2.32507	1	1	0	34.4774
2.33007	1	1	0	34.4757
2.33507	1	1	0	34.474
2.34007	1	1	0	34.4723
2.34507	1	1	0	34.4706
2.35007	1	1	0	34.4689
2.35507	1	1	0	34.4673
2.36007	1	1	0	34.4656
2.36507	1	1	0	34.4639
2.37007	1	1	0	34.4622
2.37507	1	1	0	34.4605
2.38007	1	1	0	34.4589
2.38507	1	1	0	34.4572
2.38607	1	1	0	34.4568
2.39007	1	1	0	34.4555
2.39507	1	1	0	34.4538
2.40007	1	1	0	34.4521
2.40507	1	1	0	34.4504
2.41007	1	1	0	34.4487
2.41507	1	1	0	34.4471
2.42007	1	1	0	34.4454
2.42507	1	1	0	34.4437
2.43007	1	1	0	34.442
2.43507	1	1	0	34.4403
2.44007	1	1	0	34.4386
2.44507	1	1	0	34.4369
2.45007	1	1	0	34.4353
2.45507	1	1	0	34.4336
2.46007	1	1	0	34.4319
2.46507	1	1	0	34.4302
2.46607	1	1	0	34.4299
2.47007	1	1	0	34.4285
2.47507	1	1	0	34.4268
2.48007	1	1	0	34.4251
2.48507	1	1	0	34.4234
2.49007	1	1	0	34.4218
2.49507	1	1	0	34.4201
2.50007	1	1	0	34.4184
2.50507	1	1	0	34.4167
2.51007	1	1	0	34.415
2.51107	1	1	0	34.4147
2.51507	1	1	0	34.4133
2.52007	1	1	0	34.4116
2.52507	1	1	0	34.4099
2.53007	1	1	0	34.4082
2.53507	1	1	0	34.4065
2.54007	1	1	0	34.4049
2.54507	1	1	0	34.4032
2.54607	1	1	0	34.4028
2.55007	1	1	0	34.4015
2.55507	1	1	0	34.3998
2.56007	1	1	0	34.3981
2.56507	1	1	0	34.3964
2.57007	1	1	0	34.3947
2.57507	1	1	0	34.393
2.58007	1	1	0	34.3913
2.58507	1	1	0	34.3896
2.59007	1	1	0	34.3879
2.59507	1	1	0	34.3862
2.60007	1	1	0	34.3845
2.60507	1	1	0	34.3828
2.61007	1	1	0	34.3811
2.61507	1	1	0	34.3794
2.62007	1	1	0	34.3778
2.62507	1	1	0	34.3761
2.62607	1	1	0	34.3757
2.63007	1	1	0	34.3744
2.63507	1	1	0	34.3727
2.64007	1	1	0	34.371
2.64507	1	1	0	34.3693
2.65007	1	1	0	34.3676
2.65507	1	1	0	34.3659
2.66007	1	1	0	34.3642
2.66507	1	1	0	34.3625
2.67007	1	1	0	34.3608
2.67507	1	1	0	34.3591
2.68007	1	1	0	34.3574
2.68507	1	1	0	34.3557
2.69007	1	1	0	34.354
2.69507	1	1	0	34.3523
2.70007	1	1	0	34.3506
2.70507	1	1	0	34.3489
2.70607	1	1	0	34.3485
2.71007	1	1	0	34.3472
2.71507	1	1	0	34.3455
2.72007	1	1	0	34.3438
2.72507	1	1	0	34.3421
2.73007	1	1	0	34.3404
2.73507	1	1	0	34.3387
2.74007	1	1	0	34.337
2.74507	1	1	0	34.3353
2.75007	1	1	0	34.3336
2.75507	1	1	0	34.3319
2.76007	1	1	0	34.3302
2.76507	1	1	0	34.3285
2.77007	1	1	0	34.3268
2.77507	1	1	0	34.3251
2.78007	1	1	0	34.3234
2.78507	1	1	0	34.3217
2.78607	1	1	0	34.3213
2.79007	1	1	0	34.32
2.79507	1	1	0	34.3183
2.80007	1	1	0	34.3165
2.80507	1	1	0	34.3148
2.81007	1	1	0	34.3131
2.81507	1	1	0	34.3114
2.82007	1	1	0	34.3097
2.82507	1	1	0	34.308
2.83007	1	1	0	34.3063
2.83507	1	1	0	34.3046
2.84007	1	1	0	34.3029
2.84507	1	1	0	34.3012
2.85007	1	1	0	34.2995
2.85507	1	1	0	34.2978
2.86007	1	1	0	34.2961
2.86507	1	1	0	34.2944
2.86607	1	1	0	34.294
2.87007	1	1	0	34.2927
2.87507	1	1	0	34.291
2.88007	1	1	0	34.2892
2.88507	1	1	0	34.2875
2.89007	1	1	0	34.2858
2.89507	1	1	0	34.2841
2.90007	1	1	0	34.2824
2.90507	1	1	0	34.2807
2.91007	1	1	0	34.279
2.91507	1	1	0	34.2773
2.92007	1	1	0	34.2756
2.92507	1	1	0	34.2739
2.93007	1	1	0	34.2721
2.93507	1	1	0	34.2704
2.94007	1	1	0	34.2687
2.94507	1	1	0	34.267
2.94607	1	1	0	34.2667
2.95007	1	1	0	34.2653
2.95507	1	1	0	34.2636
2.96007	1	1	0	34.2619
2.96507	1	1	0	34.2602
2.97007	1	1	0	34.2585
2.97507	1	1	0	34.2567
2.98007	1	1	0	34.255
2.98507	1	1	0	34.2533
2.99007	1	1	0	34.2516
2.99507	1	1	0	34.2499
3.00007	1	1	0	34.2482
3.00507	1	1	0	34.2465
3.01007	1	1	0	34.2447
3.01507	1	1	0	34.243
3.02007	1	1	0	34.2413
3.02507	1	1	0	34.2396
3.02607	1	1	0	34.2393
3.03007	1	1	0	34.2379
3.03507	1	1	0	34.2362
3.04007	1	1	0	34.2344
3.04507	1	1	0	34.2327
3.05007	1	1	0	34.231
3.05507	1	1	0	34.2293
3.06007	1	1	0	34.2276
3.06507	1	1	0	34.2259
3.07007	1	1	0	34.2241
3.07507	1	1	0	34.2224
3.08007	1	1	0	34.2207
3.08507	1	1	0	34.219
3.09007	1	1	0	34.2173
3.09507	1	1	0	34.2156
3.10007	1	1	0	34.2138
3.10507	1	1	0	34.2121
3.10607	1	1	0	34.2118
3.11007	1	1	0	34.2104
3.11507	1	1	0	34.2087
3.12007	1	1	0	34.207
3.12507	1	1	0	34.2052
3.13007	1	1	0	34.2035
3.13507	1	1	0	34.2018
3.14007	1	1	0	34.2001
