Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
8.015	gNB PHY Txed	801	5	0	1	0	0	SIB1
8.02	gNB PHY Txed	802	0	0	1	0	0	MIB
8.025	gNB PHY Txed	802	5	0	1	0	0	SIB1
8.03	gNB PHY Txed	803	0	0	1	0	0	MIB
8.035	gNB PHY Txed	803	5	0	1	0	0	SIB1
8.04	gNB PHY Txed	804	0	0	1	0	0	MIB
8.045	gNB PHY Txed	804	5	0	1	0	0	SIB1
8.05	gNB PHY Txed	805	0	0	1	0	0	MIB
8.055	gNB PHY Txed	805	5	0	1	0	0	SIB1
8.06	gNB PHY Txed	806	0	0	1	0	0	MIB
8.065	gNB PHY Txed	806	5	0	1	0	0	SIB1
8.066	gNB PHY Txed	806	6	0	1	0	0	UL_UCI
8.07	gNB PHY Txed	807	0	0	1	0	0	MIB
8.075	gNB PHY Txed	807	5	0	1	0	0	SIB1
8.08	gNB PHY Txed	808	0	0	1	0	0	MIB
8.085	gNB PHY Txed	808	5	0	1	0	0	SIB1
8.09	gNB PHY Txed	809	0	0	1	0	0	MIB
8.095	gNB PHY Txed	809	5	0	1	0	0	SIB1
8.1	gNB PHY Txed	810	0	0	1	0	0	MIB
8.105	gNB PHY Txed	810	5	0	1	0	0	SIB1
8.11	gNB PHY Txed	811	0	0	1	0	0	MIB
8.115	gNB PHY Txed	811	5	0	1	0	0	SIB1
8.12	gNB PHY Txed	812	0	0	1	0	0	MIB
8.125	gNB PHY Txed	812	5	0	1	0	0	SIB1
8.13	gNB PHY Txed	813	0	0	1	0	0	MIB
8.135	gNB PHY Txed	813	5	0	1	0	0	SIB1
8.14	gNB PHY Txed	814	0	0	1	0	0	MIB
8.145	gNB PHY Txed	814	5	0	1	0	0	SIB1
8.146	gNB PHY Txed	814	6	0	1	0	0	UL_UCI
8.15	gNB PHY Txed	815	0	0	1	0	0	MIB
8.155	gNB PHY Txed	815	5	0	1	0	0	SIB1
8.16	gNB PHY Txed	816	0	0	1	0	0	MIB
8.165	gNB PHY Txed	816	5	0	1	0	0	SIB1
8.17	gNB PHY Txed	817	0	0	1	0	0	MIB
8.175	gNB PHY Txed	817	5	0	1	0	0	SIB1
8.18	gNB PHY Txed	818	0	0	1	0	0	MIB
8.185	gNB PHY Txed	818	5	0	1	0	0	SIB1
8.19	gNB PHY Txed	819	0	0	1	0	0	MIB
8.195	gNB PHY Txed	819	5	0	1	0	0	SIB1
8.2	gNB PHY Txed	820	0	0	1	0	0	MIB
8.205	gNB PHY Txed	820	5	0	1	0	0	SIB1
8.21	gNB PHY Txed	821	0	0	1	0	0	MIB
8.215	gNB PHY Txed	821	5	0	1	0	0	SIB1
8.22	gNB PHY Txed	822	0	0	1	0	0	MIB
8.225	gNB PHY Txed	822	5	0	1	0	0	SIB1
8.226	gNB PHY Txed	822	6	0	1	0	0	UL_UCI
8.23	gNB PHY Txed	823	0	0	1	0	0	MIB
8.235	gNB PHY Txed	823	5	0	1	0	0	SIB1
8.24	gNB PHY Txed	824	0	0	1	0	0	MIB
8.245	gNB PHY Txed	824	5	0	1	0	0	SIB1
8.25	gNB PHY Txed	825	0	0	1	0	0	MIB
8.255	gNB PHY Txed	825	5	0	1	0	0	SIB1
8.26	gNB PHY Txed	826	0	0	1	0	0	MIB
8.265	gNB PHY Txed	826	5	0	1	0	0	SIB1
8.27	gNB PHY Txed	827	0	0	1	0	0	MIB
8.275	gNB PHY Txed	827	5	0	1	0	0	SIB1
8.28	gNB PHY Txed	828	0	0	1	0	0	MIB
8.285	gNB PHY Txed	828	5	0	1	0	0	SIB1
8.29	gNB PHY Txed	829	0	0	1	0	0	MIB
8.295	gNB PHY Txed	829	5	0	1	0	0	SIB1
8.3	gNB PHY Txed	830	0	0	1	0	0	MIB
8.305	gNB PHY Txed	830	5	0	1	0	0	SIB1
8.306	gNB PHY Txed	830	6	0	1	0	0	UL_UCI
8.31	gNB PHY Txed	831	0	0	1	0	0	MIB
8.315	gNB PHY Txed	831	5	0	1	0	0	SIB1
8.32	gNB PHY Txed	832	0	0	1	0	0	MIB
8.325	gNB PHY Txed	832	5	0	1	0	0	SIB1
8.33	gNB PHY Txed	833	0	0	1	0	0	MIB
8.335	gNB PHY Txed	833	5	0	1	0	0	SIB1
8.34	gNB PHY Txed	834	0	0	1	0	0	MIB
8.345	gNB PHY Txed	834	5	0	1	0	0	SIB1
8.35	gNB PHY Txed	835	0	0	1	0	0	MIB
8.355	gNB PHY Txed	835	5	0	1	0	0	SIB1
8.36	gNB PHY Txed	836	0	0	1	0	0	MIB
8.365	gNB PHY Txed	836	5	0	1	0	0	SIB1
8.37	gNB PHY Txed	837	0	0	1	0	0	MIB
8.375	gNB PHY Txed	837	5	0	1	0	0	SIB1
8.38	gNB PHY Txed	838	0	0	1	0	0	MIB
8.385	gNB PHY Txed	838	5	0	1	0	0	SIB1
8.386	gNB PHY Txed	838	6	0	1	0	0	UL_UCI
8.39	gNB PHY Txed	839	0	0	1	0	0	MIB
8.395	gNB PHY Txed	839	5	0	1	0	0	SIB1
8.4	gNB PHY Txed	840	0	0	1	0	0	MIB
8.405	gNB PHY Txed	840	5	0	1	0	0	SIB1
8.41	gNB PHY Txed	841	0	0	1	0	0	MIB
8.415	gNB PHY Txed	841	5	0	1	0	0	SIB1
8.42	gNB PHY Txed	842	0	0	1	0	0	MIB
8.425	gNB PHY Txed	842	5	0	1	0	0	SIB1
8.43	gNB PHY Txed	843	0	0	1	0	0	MIB
8.435	gNB PHY Txed	843	5	0	1	0	0	SIB1
8.44	gNB PHY Txed	844	0	0	1	0	0	MIB
8.445	gNB PHY Txed	844	5	0	1	0	0	SIB1
8.45	gNB PHY Txed	845	0	0	1	0	0	MIB
8.455	gNB PHY Txed	845	5	0	1	0	0	SIB1
8.46	gNB PHY Txed	846	0	0	1	0	0	MIB
8.465	gNB PHY Txed	846	5	0	1	0	0	SIB1
8.466	gNB PHY Txed	846	6	0	1	0	0	UL_UCI
8.47	gNB PHY Txed	847	0	0	1	0	0	MIB
