Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
10.5396	1	0	1	-95.6732
10.5489	1	0	1	-95.6697
10.6289	1	0	1	-95.6396
10.7089	1	0	1	-95.6095
10.7889	1	0	1	-95.5794
10.8689	1	0	1	-95.5493
10.9489	1	0	1	-95.5193
11.0289	1	0	1	-95.4892
11.1089	1	0	1	-95.4592
11.1889	1	0	1	-95.4291
11.2689	1	0	1	-95.3991
11.3489	1	0	1	-95.369
11.4289	1	0	1	-95.339
11.5089	1	0	1	-95.309
11.5889	1	0	1	-95.279
11.6689	1	0	1	-95.249
11.7489	1	0	1	-95.219
11.8289	1	0	1	-95.189
11.9089	1	0	1	-95.159
11.9889	1	0	1	-95.1291
12.0689	1	0	1	-95.0991
12.1489	1	0	1	-95.0692
12.2289	1	0	1	-95.0392
12.3089	1	0	1	-95.0093
12.3889	1	0	1	-94.9794
12.4689	1	0	1	-94.9495
12.5029	1	0	1	-94.9368
12.5079	1	0	1	-94.935
12.5129	1	0	1	-94.9331
12.5179	1	0	1	-94.9312
12.5229	1	0	1	-94.9294
12.5289	1	0	1	-94.9271
12.5339	1	0	1	-94.9253
12.5389	1	0	1	-94.9234
12.5439	1	0	1	-94.9215
12.5488	1	0	1	-94.9197
12.5489	1	0	1	-94.9197
12.5549	1	0	1	-94.9174
12.5599	1	0	1	-94.9156
12.5649	1	0	1	-94.9137
12.5701	1	0	1	-94.9118
12.5716	1	0	1	-94.9112
12.5769	1	0	1	-94.9092
12.6289	1	0	1	-94.8898
12.7089	1	0	1	-94.86
12.7889	1	0	1	-94.8302
12.8689	1	0	1	-94.8004
12.9489	1	0	1	-94.7706
13.0289	1	0	1	-94.7408
13.1089	1	0	1	-94.711
13.1889	1	0	1	-94.6813
13.2689	1	0	1	-94.6516
13.3489	1	0	1	-94.6219
13.4289	1	0	1	-94.5922
13.5089	1	0	1	-94.5626
13.5889	1	0	1	-94.5329
13.6689	1	0	1	-94.5033
13.7489	1	0	1	-94.4737
13.8289	1	0	1	-94.4442
13.9089	1	0	1	-94.4146
13.9889	1	0	1	-94.3851
14.0689	1	0	1	-94.3556
14.1489	1	0	1	-94.3261
14.2289	1	0	1	-94.2967
14.3089	1	0	1	-94.2673
14.3889	1	0	1	-94.2379
14.4689	1	0	1	-94.2085
14.5029	1	0	1	-94.196
14.5079	1	0	1	-94.1942
14.5131	1	0	1	-94.1923
14.5146	1	0	1	-94.1917
14.5197	1	0	1	-94.1899
14.5489	1	0	1	-94.1792
14.6289	1	0	1	-94.1499
14.7089	1	0	1	-94.1206
14.7889	1	0	1	-94.0913
14.8689	1	0	1	-94.0621
14.9489	1	0	1	-94.033
15.0289	1	0	1	-94.0038
15.1089	1	0	1	-93.9747
15.1889	1	0	1	-93.9456
15.2689	1	0	1	-93.9165
15.3489	1	0	1	-93.8875
15.4289	1	0	1	-93.8586
15.5089	1	0	1	-93.8296
15.5889	1	0	1	-93.8007
15.6689	1	0	1	-93.7718
15.7489	1	0	1	-93.743
15.8289	1	0	1	-93.7142
15.9089	1	0	1	-93.6854
15.9889	1	0	1	-93.6567
16.0689	1	0	1	-93.6281
16.1489	1	0	1	-93.5994
16.2289	1	0	1	-93.5708
16.3089	1	0	1	-93.5423
16.3889	1	0	1	-93.5138
16.4689	1	0	1	-93.4853
16.5029	1	0	1	-93.4732
16.5079	1	0	1	-93.4715
16.5131	1	0	1	-93.4696
16.5489	1	0	1	-93.4569
16.6289	1	0	1	-93.4286
16.7089	1	0	1	-93.4002
16.7889	1	0	1	-93.372
16.8689	1	0	1	-93.3437
16.9489	1	0	1	-93.3156
17.0289	1	0	1	-93.2874
17.1089	1	0	1	-93.2594
17.1889	1	0	1	-93.2313
17.2689	1	0	1	-93.2034
17.3489	1	0	1	-93.1755
17.4289	1	0	1	-93.1476
17.5089	1	0	1	-93.1198
17.5889	1	0	1	-93.092
17.6689	1	0	1	-93.0643
17.7489	1	0	1	-93.0367
17.8289	1	0	1	-93.0091
17.9089	1	0	1	-92.9816
17.9889	1	0	1	-92.9541
18.0689	1	0	1	-92.9267
18.1489	1	0	1	-92.8994
18.2289	1	0	1	-92.8721
