split,features,model,subset,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,folds_used
GroupKFold(leave-one-distance-out),RSSI_N_L(L_per),RF,N<9,3.045057409805248,1.4790281583470897,3.5773721414166877,1.841322266140404,0.9485581326209903,0.07369886740241766,7
GroupKFold(leave-one-distance-out),RSSI_N_L(L_per),Tree,N<9,3.2552740102040807,2.1065131646524264,3.8633762580158115,2.40532232654023,0.9355082927197734,0.09697178220074032,7
GroupKFold(leave-one-distance-out),N_L_per,Tree,N<9,3.3999381218415934,1.494549539597221,4.044275596642178,1.801673576850926,0.9446052081621854,0.05032777630611386,7
GroupKFold(leave-one-distance-out),N_L_per,RF,N<9,3.4263058475534924,1.3020825694644609,4.106953964975298,1.640156004936433,0.9442885141408216,0.04947174290795384,7
GroupKFold(leave-one-distance-out),RSSI_N,RF,N<9,6.542288484087591,0.9655337954542046,7.6880333852976275,1.1419911865217776,0.8367566263125641,0.08041509532049988,7
GroupKFold(leave-one-distance-out),N_only,Tree,N<9,6.532000512337661,1.741042226312276,7.773316784030643,1.8579773481095354,0.8267514047798507,0.1056440427954375,7
GroupKFold(leave-one-distance-out),N_only,RF,N<9,6.551970080442911,1.7260391308396685,7.782609445928555,1.8535685842570488,0.8263194893790049,0.10609095740081127,7
GroupKFold(leave-one-distance-out),RSSI_N,Tree,N<9,7.066603227891156,1.4564095332572404,8.1939124600952,1.8402654851889537,0.8143927055252015,0.0962662605424579,7
GroupKFold(leave-one-distance-out),RSSI_N_L(L_per),Linear,N<9,11.496784895302824,1.801922386168836,14.450832621360112,1.5968306768550384,0.45933738344379854,0.06391335912454468,7
GroupKFold(leave-one-distance-out),N_L_per,Linear,N<9,11.602830247729353,1.8334014359077586,14.60400789332912,1.997730287565777,0.44836852650458897,0.09611655089509073,7
GroupKFold(leave-one-distance-out),N_only,Linear,N<9,14.17101926264175,2.215991757119689,17.245242522830686,2.857636422867987,0.24212352176964672,0.09009847712071259,7
GroupKFold(leave-one-distance-out),RSSI_N,Linear,N<9,14.779268270865382,1.9568876373695527,17.672791922141418,2.6103917861019865,0.20079806647234727,0.09069833699339948,7
GroupKFold(leave-one-distance-out),RSSI_L_per,Linear,N<9,17.925208895872256,2.826959457537041,23.6042742933073,3.8919674000521565,-0.4341864132315738,0.2539536022806519,7
GroupKFold(leave-one-distance-out),L_per_only,Linear,N<9,18.00411642730682,3.1740304456810007,23.816845095438715,3.8881877629257593,-0.4568270184921535,0.2589546563914604,7
GroupKFold(leave-one-distance-out),L_per_only,Tree,N<9,18.004116427306826,3.1740304456809962,23.816845095438726,3.888187762925751,-0.45682701849215473,0.2589546563914599,7
GroupKFold(leave-one-distance-out),RSSI_only,Linear,N<9,18.209965461965318,3.44336637890546,23.822379273870492,4.51819914715897,-0.4520397962198198,0.2882929682712614,7
GroupKFold(leave-one-distance-out),L_per_only,RF,N<9,18.036046817633075,3.1913316484109884,23.85175821916443,3.9064218934727224,-0.46082952034664043,0.2596325636110118,7
GroupKFold(leave-one-distance-out),RSSI_L_per,Tree,N<9,18.233015184327577,2.7895034654113955,24.215373345714617,3.7137262631192223,-0.5086395269453262,0.22545387071542417,7
GroupKFold(leave-one-distance-out),RSSI_L_per,RF,N<9,18.27930899396036,2.7996977737006445,24.275421049834474,3.7174752392609425,-0.5166263778022907,0.22977325137706517,7
GroupKFold(leave-one-distance-out),RSSI_only,Tree,N<9,18.488869206740876,3.308310561653311,24.401422464546037,4.2607268092326915,-0.5206659645769532,0.22804389439246806,7
GroupKFold(leave-one-distance-out),RSSI_only,RF,N<9,18.53189945911034,3.2841600434802998,24.452337285491346,4.230376851244393,-0.5280043571682368,0.22919510090063067,7
GroupKFold(leave-one-distance-out),N_L_per,Tree,N>=9,2.1066558495076357,0.6573383886532438,2.5407605089761875,0.8579596272994605,0.5478436376837866,0.41427566881037303,7
GroupKFold(leave-one-distance-out),N_L_per,RF,N>=9,2.108974130573242,0.616774500397067,2.5423354780031575,0.81418772967638,0.5663918836416684,0.36244343059509526,7
GroupKFold(leave-one-distance-out),RSSI_N_L(L_per),RF,N>=9,2.127631387659992,0.9347320348259648,2.7150332261142913,1.195966198647329,0.5510966362351318,0.37305787208669866,7
GroupKFold(leave-one-distance-out),RSSI_N_L(L_per),Tree,N>=9,2.4006287212787214,0.8961484470283312,2.948619917027718,1.2022219672797412,0.4470456229987727,0.38073997596459325,7
GroupKFold(leave-one-distance-out),N_only,RF,N>=9,2.350216577905317,0.4666330206591304,3.116929673814169,0.6768027186868533,0.4007058198696431,0.3464957462025691,7
GroupKFold(leave-one-distance-out),N_only,Tree,N>=9,2.3663694799140242,0.46619506748707845,3.13029452298662,0.6718125599570031,0.395727024774022,0.3477523816471538,7
GroupKFold(leave-one-distance-out),RSSI_N,RF,N>=9,2.496218029660565,0.5227627297997501,3.30232380984443,0.6185443263411591,0.34784458149198455,0.2778551756849376,7
GroupKFold(leave-one-distance-out),RSSI_N,Tree,N>=9,2.662269734432235,0.4407880848357301,3.3934965251927807,0.4104193759675928,0.2687548423382992,0.38729804137569424,7
GroupKFold(leave-one-distance-out),N_L_per,Linear,N>=9,10.709505033811066,3.1678872250239603,12.221773878194284,3.8724901072729123,-11.027196797291833,11.230537384286372,7
GroupKFold(leave-one-distance-out),RSSI_N_L(L_per),Linear,N>=9,11.359667925391742,3.2317689094366573,12.911601045346982,3.8710430163283314,-12.93137388779164,11.17234678364324,7
GroupKFold(leave-one-distance-out),N_only,Linear,N>=9,13.253887711237363,1.6003379735599026,14.608266284405437,1.4974239423343638,-14.372999863919263,10.61380882816064,7
GroupKFold(leave-one-distance-out),RSSI_N,Linear,N>=9,14.572355472909692,4.3509911427854195,15.898398683952765,3.94698053924691,-19.607518539608282,20.343813782372173,7
GroupKFold(leave-one-distance-out),RSSI_only,RF,N>=9,18.96098406918309,2.657661952571475,19.517198347074817,2.5006708055868843,-25.169798549598458,17.49460428356232,7
GroupKFold(leave-one-distance-out),RSSI_only,Tree,N>=9,19.0454607014319,2.6508121417439403,19.597325124157965,2.511231600001158,-25.24989724117218,17.390408573225994,7
GroupKFold(leave-one-distance-out),RSSI_L_per,RF,N>=9,19.108822709543023,3.2190656906561896,19.749199472923788,2.989219226072307,-26.298250124137844,18.396987272896126,7
GroupKFold(leave-one-distance-out),RSSI_L_per,Tree,N>=9,19.190201966751196,3.267741094496909,19.827181963352327,3.0557620908789778,-26.41339479964157,18.379040500565164,7
GroupKFold(leave-one-distance-out),L_per_only,RF,N>=9,19.85686467401892,2.4110681412835344,20.422640820529548,2.258790378125152,-27.86755016033181,19.83654912176974,7
GroupKFold(leave-one-distance-out),L_per_only,Tree,N>=9,19.908612867260924,2.439890031748252,20.475929041418258,2.2892349427813476,-28.030440486884228,19.981006225606645,7
GroupKFold(leave-one-distance-out),L_per_only,Linear,N>=9,19.90861286726095,2.439890031748242,20.475929041418276,2.2892349427813365,-28.03044048688426,19.981006225606645,7
GroupKFold(leave-one-distance-out),RSSI_only,Linear,N>=9,20.67990806056461,3.8348744029731896,21.207557676178606,3.616631937487827,-32.521403444135174,28.001522432480584,7
GroupKFold(leave-one-distance-out),RSSI_L_per,Linear,N>=9,20.645414188839137,3.8376343905525383,21.234968647511327,3.571773676752344,-32.31176726218637,25.86975747864214,7
GroupKFold(leave-one-distance-out),RSSI_N_L(L_per),RF,all,2.692517302264647,1.239368272884132,3.2916251855476513,1.578435853480643,0.9674646888295568,0.04530597169512821,7
GroupKFold(leave-one-distance-out),RSSI_N_L(L_per),Tree,all,2.904544258008658,1.6026799144599941,3.5788155147727987,1.9033199414733069,0.9595861797633031,0.05870579392332355,7
GroupKFold(leave-one-distance-out),N_L_per,Tree,all,2.9034274500103066,1.0763803568003338,3.5789164321844935,1.3744824631122212,0.9674952644488206,0.028511594893160703,7
GroupKFold(leave-one-distance-out),N_L_per,RF,all,2.9200104082114566,0.9508466984367131,3.6163413462613647,1.2580445434486,0.9675118435347915,0.027796285749382303,7
GroupKFold(leave-one-distance-out),RSSI_N,RF,all,4.8764184041644025,0.5865898178599669,6.280155365919991,0.8290878848717762,0.914489417494613,0.0461448466998502,7
GroupKFold(leave-one-distance-out),N_only,Tree,all,4.821506098412697,1.1502303345664522,6.303133088038814,1.4470754401962302,0.9117489068767046,0.055719577738118205,7
GroupKFold(leave-one-distance-out),N_only,RF,all,4.8283506500059685,1.1405259281082654,6.307693454302475,1.4462666122670051,0.9116130255171003,0.055851367117457404,7
GroupKFold(leave-one-distance-out),RSSI_N,Tree,all,5.241272275468975,0.7064969610335704,6.665019051086628,1.2592807821888383,0.9035380686197322,0.05211434977870046,7
GroupKFold(leave-one-distance-out),N_L_per,Linear,all,11.312720626759292,2.2233865702958338,13.887197433714226,2.265662626327978,0.6161963784690746,0.06294259859476642,7
GroupKFold(leave-one-distance-out),RSSI_N_L(L_per),Linear,all,11.466053850806256,2.251402566739642,13.975478594852989,2.1060701525814003,0.6088429806915191,0.07222234805055411,7
GroupKFold(leave-one-distance-out),N_only,Linear,all,13.692640888095877,1.4085576151614372,16.198872977418237,1.8087925238007099,0.4740515051289078,0.04723312382291967,7
GroupKFold(leave-one-distance-out),RSSI_N,Linear,all,14.533232696516906,2.1652202529959057,16.950248256597668,2.103166907323646,0.4108862055265408,0.17009721682806703,7
GroupKFold(leave-one-distance-out),RSSI_only,Tree,all,18.589050161731603,2.4313713815664917,22.51712160752926,2.8241135191766005,-0.008973864740303483,0.008337231769976455,7
GroupKFold(leave-one-distance-out),RSSI_L_per,Tree,all,18.55975061148851,2.4343319980621927,22.519498618605443,2.735899921709768,-0.010332771174904973,0.014966590139102384,7
GroupKFold(leave-one-distance-out),RSSI_only,RF,all,18.583179042640094,2.4231837281287145,22.52062252516439,2.8162222619652413,-0.009388603691060331,0.008293969706825388,7
GroupKFold(leave-one-distance-out),RSSI_L_per,RF,all,18.554694906563814,2.4283751978802806,22.526795589671604,2.736080370136037,-0.011018925970229196,0.015993922952040118,7
