U,RSSI,N,L_total,L_per,distance,source
55.0205,-31.6777,4.0,40.0,10.0,0.0,cu_0125_RSSI.csv
55.6295,-52.6468,4.0,40.0,10.0,5.0,cu_0125_RSSI.csv
58.6845,-61.6777,4.0,40.0,10.0,10.0,cu_0125_RSSI.csv
61.3665,-66.9604,4.0,40.0,10.0,15.0,cu_0125_RSSI.csv
66.2789,-70.7086,4.0,40.0,10.0,20.0,cu_0125_RSSI.csv
63.508,-73.6159,4.0,40.0,10.0,25.0,cu_0125_RSSI.csv
61.0061,-75.9913,4.0,40.0,10.0,30.0,cu_0125_RSSI.csv
9.12861,-52.6468,1.0,5.0,5.0,5.0,cu_0119_1st.csv
18.0457,-52.6468,2.0,10.0,5.0,5.0,cu_0119_1st.csv
27.614,-52.6468,3.0,15.0,5.0,5.0,cu_0119_1st.csv
38.2883,-52.6468,4.0,20.0,5.0,5.0,cu_0119_1st.csv
47.7861,-52.6468,5.0,25.0,5.0,5.0,cu_0119_1st.csv
57.7304,-52.6468,7.0,35.0,5.0,5.0,cu_0119_1st.csv
70.0845,-52.6468,10.0,50.0,5.0,5.0,cu_0119_1st.csv
77.8727,-52.6468,15.0,75.0,5.0,5.0,cu_0119_1st.csv
83.5904,-52.6468,20.0,100.0,5.0,5.0,cu_0119_1st.csv
88.5483,-52.6468,25.0,125.0,5.0,5.0,cu_0119_1st.csv
89.7763,-52.6468,30.0,150.0,5.0,5.0,cu_0119_1st.csv
90.8465,-52.6468,35.0,175.0,5.0,5.0,cu_0119_1st.csv
90.5044,-52.6468,40.0,200.0,5.0,5.0,cu_0119_1st.csv
10.1063,-61.6777,1.0,5.0,5.0,10.0,cu_0119_1st.csv
20.027,-61.6777,2.0,10.0,5.0,10.0,cu_0119_1st.csv
29.9291,-61.6777,3.0,15.0,5.0,10.0,cu_0119_1st.csv
40.9002,-61.6777,4.0,20.0,5.0,10.0,cu_0119_1st.csv
51.1945,-61.6777,5.0,25.0,5.0,10.0,cu_0119_1st.csv
62.549,-61.6777,7.0,35.0,5.0,10.0,cu_0119_1st.csv
72.8172,-61.6777,10.0,50.0,5.0,10.0,cu_0119_1st.csv
81.6311,-61.6777,15.0,75.0,5.0,10.0,cu_0119_1st.csv
85.8741,-61.6777,20.0,100.0,5.0,10.0,cu_0119_1st.csv
90.2245,-61.6777,25.0,125.0,5.0,10.0,cu_0119_1st.csv
89.7264,-61.6777,30.0,150.0,5.0,10.0,cu_0119_1st.csv
89.5573,-61.6777,35.0,175.0,5.0,10.0,cu_0119_1st.csv
89.9096,-61.6777,40.0,200.0,5.0,10.0,cu_0119_1st.csv
9.85351,-66.9604,1.0,5.0,5.0,15.0,cu_0119_1st.csv
19.8349,-66.9604,2.0,10.0,5.0,15.0,cu_0119_1st.csv
29.8758,-66.9604,3.0,15.0,5.0,15.0,cu_0119_1st.csv
42.8964,-66.9604,4.0,20.0,5.0,15.0,cu_0119_1st.csv
52.7677,-66.9604,5.0,25.0,5.0,15.0,cu_0119_1st.csv
62.8396,-66.9604,7.0,35.0,5.0,15.0,cu_0119_1st.csv
72.9298,-66.9604,10.0,50.0,5.0,15.0,cu_0119_1st.csv
80.2556,-66.9604,15.0,75.0,5.0,15.0,cu_0119_1st.csv
86.2862,-66.9604,20.0,100.0,5.0,15.0,cu_0119_1st.csv
85.724,-66.9604,25.0,125.0,5.0,15.0,cu_0119_1st.csv
85.0699,-66.9604,30.0,150.0,5.0,15.0,cu_0119_1st.csv
86.0116,-66.9604,35.0,175.0,5.0,15.0,cu_0119_1st.csv
86.2671,-66.9604,40.0,200.0,5.0,15.0,cu_0119_1st.csv
11.1551,-70.7086,1.0,5.0,5.0,20.0,cu_0119_1st.csv
22.5413,-70.7086,2.0,10.0,5.0,20.0,cu_0119_1st.csv
34.3004,-70.7086,3.0,15.0,5.0,20.0,cu_0119_1st.csv
46.5101,-70.7086,4.0,20.0,5.0,20.0,cu_0119_1st.csv
55.147,-70.7086,5.0,25.0,5.0,20.0,cu_0119_1st.csv
66.2089,-70.7086,7.0,35.0,5.0,20.0,cu_0119_1st.csv
77.5226,-70.7086,10.0,50.0,5.0,20.0,cu_0119_1st.csv
83.9885,-70.7086,15.0,75.0,5.0,20.0,cu_0119_1st.csv
88.1219,-70.7086,20.0,100.0,5.0,20.0,cu_0119_1st.csv
87.5644,-70.7086,25.0,125.0,5.0,20.0,cu_0119_1st.csv
87.6208,-70.7086,30.0,150.0,5.0,20.0,cu_0119_1st.csv
87.6152,-70.7086,35.0,175.0,5.0,20.0,cu_0119_1st.csv
87.389,-70.7086,40.0,200.0,5.0,20.0,cu_0119_1st.csv
11.3785,-73.6159,1.0,5.0,5.0,25.0,cu_0119_1st.csv
22.463,-73.6159,2.0,10.0,5.0,25.0,cu_0119_1st.csv
34.7157,-73.6159,3.0,15.0,5.0,25.0,cu_0119_1st.csv
55.4914,-73.6159,4.0,20.0,5.0,25.0,cu_0119_1st.csv
61.7144,-73.6159,5.0,25.0,5.0,25.0,cu_0119_1st.csv
67.334,-73.6159,7.0,35.0,5.0,25.0,cu_0119_1st.csv
79.5263,-73.6159,10.0,50.0,5.0,25.0,cu_0119_1st.csv
86.9793,-73.6159,15.0,75.0,5.0,25.0,cu_0119_1st.csv
87.8093,-73.6159,20.0,100.0,5.0,25.0,cu_0119_1st.csv
89.0429,-73.6159,25.0,125.0,5.0,25.0,cu_0119_1st.csv
88.5268,-73.6159,30.0,150.0,5.0,25.0,cu_0119_1st.csv
89.6593,-73.6159,35.0,175.0,5.0,25.0,cu_0119_1st.csv
87.4396,-73.6159,40.0,200.0,5.0,25.0,cu_0119_1st.csv
17.9147,-52.6468,1.0,10.0,10.0,5.0,cu_0119_1st.csv
36.3887,-52.6468,2.0,20.0,10.0,5.0,cu_0119_1st.csv
50.1724,-52.6468,3.0,30.0,10.0,5.0,cu_0119_1st.csv
55.6295,-52.6468,4.0,40.0,10.0,5.0,cu_0119_1st.csv
62.1064,-52.6468,5.0,50.0,10.0,5.0,cu_0119_1st.csv
72.6138,-52.6468,7.0,70.0,10.0,5.0,cu_0119_1st.csv
79.6449,-52.6468,10.0,100.0,10.0,5.0,cu_0119_1st.csv
85.6347,-52.6468,15.0,150.0,10.0,5.0,cu_0119_1st.csv
